AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
523970,13618000040,4460,NA,NA,ELMBANK,AV,NA,23,8/13/2015 0:00:00,$400.00,WRECK 1 CAR FRAME GARAGE (HANDWRECK)
523973,12435000480,4201,-03,N,21ST,ST,NA,2,9/1/2015 0:00:00,$2700.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 18-FY 16)
524023,15203000070,732,NA,NA,THRUSH,AV,NA,1,10/5/2015 0:00:00,$7000.00,REMOVE RUBBLE
524024,12437050030,4238,-40,N,20TH,ST,NA,2,9/10/2015 0:00:00,$2200.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 16-FY 16)
524025,12436000110,4254,-56,N,21ST,ST,NA,2,9/14/2015 0:00:00,$2200.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 16-FY 16)
524026,12437050170,4241,NA,NA,19TH,ST,NA,1,9/10/2015 0:00:00,$900.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 15-FY 16)
524027,12437050140,4247,NA,NA,19TH,ST,NA,1,9/10/2015 0:00:00,$900.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 15-FY 16)
524028,12437050130,4249,NA,NA,19TH,ST,NA,1,9/10/2015 0:00:00,$900.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (PKG 15-FY 16)
524029,12437050160,4243,NA,NA,19TH,ST,NA,1,9/10/2015 0:00:00,$900.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (PKG 15-FY 16)
524044,11638000240,3839,NA,NA,CALIFORNIA,AV,NA,1,8/27/2015 0:00:00,$7500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
524046,13918040015,4052,NA,NA,FOREST PARK,AV,NA,20,9/8/2015 0:00:00,$29000.00,WRECK COMMERCIAL BUILDING  (METAL SHED)
524079,11517000370,3251,R,NA,TEXAS,AV,NA,1,8/19/2015 0:00:00,$200.00,WRECK 1 CAR FRAME GARAGE
524130,10780000280,919,R,NA,ANN,AV,NA,23,8/27/2015 0:00:00,$0.00,DEMOLISH REAR GARAGE
524145,12400000090,4028,NA,NA,25TH,ST,NA,1,9/10/2015 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 20-FY16)
524146,12400000110,4032,NA,NA,25TH,ST,NA,1,9/10/2015 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 20-FY16)
524147,12400000080,4026,NA,NA,25TH,ST,NA,1,9/10/2015 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 20 FY16)
524148,12400000100,4030,NA,NA,25TH,ST,NA,1,9/10/2015 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 20-FY16)
524182,19112000031,8888,NA,NA,HALL,ST,NA,20,9/24/2015 0:00:00,$45000.00,WRECK COMMERCIAL BLDG
